_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
91,91,Trail,13,Not applicable,, , , ,83.19866214,"{""coordinates"": [[[-79.3464790640747, 43.6737357051578], [-79.3462506106204, 43.6730053817846]]], ""type"": ""MultiLineString""}"
92,92,Local,7,Sidewalk on both sides,, , , ,26.75052245,"{""coordinates"": [[[-79.4809369588462, 43.6699297113512], [-79.4808346401974, 43.6697006643875]]], ""type"": ""MultiLineString""}"
93,93,Major Arterial,7,Sidewalk on both sides,, , , ,12.61989702,"{""coordinates"": [[[-79.3959465861976, 43.6588015221608], [-79.3957931192234, 43.658823633696]]], ""type"": ""MultiLineString""}"
94,94,Trail,13,Not applicable,, , , ,15.84746692,"{""coordinates"": [[[-79.4584038611208, 43.6400489592675], [-79.4582454816018, 43.6399645946264]]], ""type"": ""MultiLineString""}"
95,95,Trail,13,Not applicable,, , , ,109.16072794,"{""coordinates"": [[[-79.4641740261041, 43.6362488380756], [-79.4628213849274, 43.6362670120302]]], ""type"": ""MultiLineString""}"
96,96,Trail,13,Not applicable,, , , ,20.01485112,"{""coordinates"": [[[-79.4687397400782, 43.6340838503511], [-79.4685702448737, 43.6339523116141]]], ""type"": ""MultiLineString""}"
97,97,Pathway,12,N/A,, , , ,228.54042935,"{""coordinates"": [[[-79.497172378607, 43.7763938299212], [-79.4970400641476, 43.7759277103747], [-79.497532555166, 43.7758607984219], [-79.4970631532575, 43.7747451200736], [-79.4970699755706, 43.7746935255725]]], ""type"": ""MultiLineString""}"
98,98,Local,3,No sidewalk on either side,, , , ,10.21764098,"{""coordinates"": [[[-79.4678545554229, 43.7114069115374], [-79.4677784853149, 43.7114804934608]]], ""type"": ""MultiLineString""}"
99,99,Trail,13,Not applicable,, , , ,43.10556327,"{""coordinates"": [[[-79.4758849090871, 43.6284276662519], [-79.4755378743789, 43.6287226222668]]], ""type"": ""MultiLineString""}"
100,100,Trail,13,Not applicable,, , , ,112.93377362,"{""coordinates"": [[[-79.3110878404223, 43.6618438745669], [-79.3097903648378, 43.6622262602793]]], ""type"": ""MultiLineString""}"
